2025-12-16 16:41:07,150 - evaluate.py - INFO - 对该轮训练结果进行预测...
2025-12-16 16:41:09,976 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 49}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 72}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 19}), 'TIME': defaultdict(<class 'int'>, {'total_count': 34})}
2025-12-16 16:41:09,976 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 50}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 72}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 19}), 'TIME': defaultdict(<class 'int'>, {'total_count': 34})}
2025-12-16 16:41:09,976 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 50}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 72}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 19}), 'TIME': defaultdict(<class 'int'>, {'total_count': 36})}
2025-12-16 16:41:09,977 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 50}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 72}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 21}), 'TIME': defaultdict(<class 'int'>, {'total_count': 36})}
2025-12-16 16:41:09,977 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 50}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 72}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 22}), 'TIME': defaultdict(<class 'int'>, {'total_count': 37})}
2025-12-16 16:41:09,978 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 50}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 74}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 22}), 'TIME': defaultdict(<class 'int'>, {'total_count': 37})}
2025-12-16 16:41:09,978 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 51}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 76}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 22}), 'TIME': defaultdict(<class 'int'>, {'total_count': 39})}
2025-12-16 16:41:09,980 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 52}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 76}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 23}), 'TIME': defaultdict(<class 'int'>, {'total_count': 39})}
2025-12-16 16:41:09,980 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 53}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 76}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 23}), 'TIME': defaultdict(<class 'int'>, {'total_count': 39})}
2025-12-16 16:41:09,981 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 53}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 78}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 23}), 'TIME': defaultdict(<class 'int'>, {'total_count': 39})}
2025-12-16 16:41:09,981 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 53}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 78}), 'ORGANIZATION': defaultdict(<class 'int'>, {'total_count': 23}), 'TIME': defaultdict(<class 'int'>, {'total_count': 40})}
